Participant_ID,Dominance,Influence,Steadiness,Conscientiousness,output_success
ID2,6,11,24,59,True
ID3,5,12,0,83,True
ID4,6,10,0,84,True
ID5,5,10,26,59,True
ID6,23,11,6,60,True
ID7,9,5,57,30,True
ID8,11,5,59,25,True
ID9,12,6,58,24,True
ID10,5,10,24,61,True
ID11,0,8,7,85,True
ID12,5,9,28,58,True
ID13,5,10,26,58,True
ID14,10,5,57,30,True
ID15,4,8,29,59,True
ID17,0,13,3,85,True
ID18,5,10,21,64,True
ID19,6,11,22,61,True
ID20,6,11,22,61,True
ID21,23,12,6,59,True
ID24,0,13,3,85,True
ID25,0,11,5,84,True
ID26,24,10,5,61,True
ID28,0,10,7,83,True
ID29,11,0,83,6,True
ID30,6,11,24,59,True
ID31,4,9,22,65,True
ID32,5,9,21,65,True
ID34,0,11,5,84,True
ID35,5,9,23,63,True
ID36,21,11,6,63,True
ID37,5,10,23,62,True
ID38,0,11,4,85,True
ID39,4,9,22,65,True
ID40,5,9,21,65,True
ID41,0,10,7,83,True
ID42,5,10,24,61,True
ID43,22,8,4,65,True
ID45,5,10,20,66,True
ID46,0,12,5,83,True
ID49,0,9,5,86,True
ID50,1,13,0,86,True
ID51,4,8,24,64,True
ID52,6,11,25,58,True
ID53,11,0,86,6,True
ID54,5,10,22,62,True
ID55,4,11,0,84,True
ID56,5,11,23,61,True
ID57,0,13,1,85,True
ID58,4,9,30,56,True
ID59,6,11,21,63,True
ID60,5,10,20,66,True
ID61,13,0,82,6,True
ID62,12,6,60,22,True
ID63,5,10,20,65,True
ID64,9,4,56,30,True
ID65,10,5,59,25,True
ID67,5,10,22,64,True
ID68,0,13,0,87,True
ID69,11,6,64,19,True
ID70,23,12,6,60,True
ID71,5,10,27,58,True
ID72,5,10,22,62,True
ID73,6,11,20,64,True
ID74,5,11,20,65,True
ID75,5,10,20,66,True
ID76,5,11,25,59,True
ID77,6,11,24,59,True
ID78,4,9,28,59,True
ID79,5,11,0,85,True
ID80,0,10,3,87,True
ID81,5,9,26,60,True
ID82,5,10,21,63,True
ID83,5,10,24,61,True
ID84,8,4,59,29,True
ID85,5,10,0,85,True
ID86,5,9,28,58,True
ID87,5,10,22,62,True
ID88,5,10,21,65,True
ID89,5,9,22,64,True
ID91,25,7,4,64,True
ID92,5,11,0,84,True
ID93,24,10,5,61,True
ID94,5,10,23,62,True
ID95,10,5,61,24,True
ID96,5,11,21,62,True
ID97,23,11,6,60,True
ID98,4,7,28,61,True
ID99,4,8,21,67,True
ID101,11,5,60,24,True
