Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID49,7.4,4.7,3.3,6.7,6.06,5.67,2.78,4.89,6.8,,,,,,,,35.0,False
ID2,3.1,4.3,9.3,9.2,5.71,7.22,5.32,7.25,6.35,6.8,6.9,6.2,7.5,5.4,6.2,6.0,100.0,True
ID3,6.4,5.1,6.0,8.3,5.93,5.82,4.01,5.43,5.94,5.3,5.7,5.2,5.8,4.4,8.3,4.9,59.1,True
ID4,6.6,5.4,5.2,6.6,6.17,6.51,5.35,6.63,4.03,4.7,5.0,4.5,4.5,6.2,6.0,6.5,100.0,True
ID5,6.1,4.7,4.9,7.8,5.8,5.07,5.89,5.25,5.01,5.1,5.1,4.4,4.9,5.0,6.4,6.7,100.0,True
ID6,6.2,3.0,4.1,7.7,5.52,5.67,7.38,5.49,3.25,5.1,4.6,4.2,6.3,5.0,7.2,7.1,100.0,True
ID7,6.6,4.2,6.5,9.4,5.71,5.74,6.57,6.14,5.25,3.3,4.8,3.3,4.7,5.7,7.9,5.1,91.5,True
ID8,7.1,4.4,4.5,7.7,5.8,6.13,3.26,5.04,5.79,5.3,5.3,4.1,5.1,5.1,7.5,7.8,71.2,True
ID9,5.2,5.0,6.7,9.5,6.29,5.98,6.7,6.07,5.52,5.4,4.8,3.5,3.7,6.0,7.0,5.5,100.0,True
ID10,5.0,6.0,3.9,6.5,4.62,7.58,8.47,7.23,3.13,5.7,7.3,6.5,6.3,7.1,5.7,9.4,100.0,True
ID11,5.0,8.0,6.4,5.4,5.09,7.72,5.77,6.45,5.22,7.2,7.9,8.2,8.3,6.3,5.2,7.5,79.9,True
ID12,6.2,4.4,4.6,6.8,5.99,5.41,5.42,4.81,6.57,4.1,4.3,3.9,3.9,4.9,7.0,7.1,100.0,True
ID13,5.3,4.0,6.5,6.8,6.71,7.48,6.61,3.61,4.31,5.4,4.6,5.7,7.9,4.2,7.6,7.5,100.0,True
ID14,6.9,4.9,5.3,7.5,7.01,5.5,2.29,5.31,5.05,4.4,4.7,3.8,3.9,5.7,6.9,7.0,80.0,True
ID15,8.2,5.0,3.3,5.6,7.65,5.73,4.29,4.84,8.21,5.4,4.4,4.2,4.3,5.6,7.1,8.8,79.6,True
ID17,5.5,5.0,5.8,8.3,6.97,5.38,5.49,6.54,5.97,4.6,5.2,4.5,4.6,5.7,6.7,3.2,58.4,True
ID18,4.4,4.7,5.1,9.8,5.25,6.45,6.48,6.56,5.7,5.4,6.1,5.9,6.2,5.1,7.4,8.2,100.0,True
ID19,6.8,6.4,2.7,5.0,6.86,5.45,2.5,4.75,5.4,5.9,5.0,4.8,5.1,6.7,5.9,8.3,75.0,True
ID20,5.9,4.6,5.0,7.5,5.61,5.65,4.95,4.38,6.27,6.0,4.0,5.4,5.6,4.7,5.9,7.1,100.0,True
ID21,4.4,4.3,7.5,8.9,6.4,6.62,4.98,4.67,6.81,7.2,5.7,6.0,6.2,4.9,7.1,4.8,100.0,True
ID24,4.9,4.7,6.9,7.1,5.21,6.4,3.77,5.98,7.1,5.3,5.7,5.7,4.6,6.7,4.7,5.7,100.0,True
ID25,6.5,5.8,4.7,8.4,6.11,6.26,6.39,6.32,6.43,6.5,5.9,6.7,6.0,5.3,6.0,6.2,100.0,True
ID26,2.3,4.2,7.3,7.8,5.5,6.85,8.2,5.66,4.3,6.4,4.4,6.0,6.8,6.0,6.5,5.7,100.0,True
ID28,4.7,4.5,3.9,9.2,5.35,6.27,6.74,5.44,5.85,6.4,5.5,5.6,6.6,4.8,7.1,6.8,100.0,True
ID29,8.5,5.2,3.6,6.3,6.18,4.54,5.75,5.57,4.7,4.1,4.9,3.9,3.6,5.3,6.9,5.5,53.6,True
ID30,3.9,5.0,7.2,7.8,5.97,4.89,6.24,4.93,6.49,6.7,4.3,4.1,5.2,4.0,8.0,6.6,100.0,True
ID31,6.9,6.3,2.0,6.8,6.64,6.01,5.74,6.0,6.82,6.2,5.5,5.2,4.4,6.9,6.7,8.1,100.0,True
ID32,3.6,5.4,7.8,8.2,4.97,7.87,7.72,8.48,4.46,7.6,7.2,6.6,7.1,6.7,5.8,7.9,100.0,True
ID33,8.4,5.1,3.6,6.7,6.86,4.09,4.24,5.84,5.05,3.0,5.0,3.9,4.3,5.2,7.1,6.3,55.1,True
ID34,5.6,8.2,5.2,5.6,5.44,7.32,6.89,8.29,4.74,6.1,8.6,6.3,5.7,7.3,4.8,8.3,100.0,True
ID35,6.4,5.6,5.0,6.6,6.09,6.75,3.88,6.61,6.98,5.2,6.2,6.0,5.8,5.9,7.4,5.6,58.5,True
ID36,5.0,5.9,6.0,6.7,4.68,6.27,3.54,7.03,3.5,5.0,6.2,5.3,5.0,6.0,6.1,6.8,100.0,True
ID38,5.2,5.9,6.0,7.1,4.94,6.08,7.95,7.82,3.21,5.7,6.8,6.0,5.3,6.2,5.2,6.5,100.0,True
ID39,3.9,4.8,6.8,9.2,6.13,5.53,6.01,4.81,3.79,3.8,4.5,3.3,3.6,4.4,7.7,6.8,100.0,True
ID40,3.6,6.5,4.0,7.1,4.74,7.46,5.57,8.11,6.32,9.4,7.3,8.5,8.0,7.3,4.4,8.1,100.0,True
ID41,3.3,6.1,4.7,6.3,6.87,6.57,5.73,7.11,3.28,4.7,6.4,7.1,7.1,5.3,4.6,6.0,100.0,True
ID42,5.9,3.0,4.7,9.0,7.31,5.66,3.77,5.0,6.65,4.7,3.9,4.3,4.8,4.3,8.0,5.7,100.0,True
ID44,6.5,4.0,4.4,9.5,8.09,6.48,3.72,3.95,5.56,4.5,6.1,5.0,5.5,3.4,9.3,6.8,77.4,True
ID45,3.8,5.1,7.3,9.3,4.96,6.58,7.03,6.33,5.34,5.7,6.3,5.9,5.1,5.5,6.7,7.3,100.0,True
ID46,8.1,3.8,3.4,7.5,5.98,5.17,3.49,3.77,5.18,2.9,4.2,4.9,4.3,3.7,9.0,7.4,67.2,True
ID48,7.1,7.8,5.0,4.0,5.48,6.53,7.19,8.06,4.87,6.1,7.3,5.9,6.3,6.6,4.7,8.3,100.0,True
ID50,5.7,4.6,2.7,9.1,5.7,5.95,6.68,6.2,6.43,6.9,5.2,3.7,4.0,5.4,6.7,9.3,100.0,True
ID51,9.3,4.4,4.4,6.3,5.26,5.74,3.32,6.19,7.13,4.8,4.4,3.8,3.9,5.4,6.7,7.0,64.2,True
ID53,6.3,4.8,5.1,6.0,6.09,6.79,7.57,5.52,3.67,4.8,5.2,4.3,4.6,5.3,7.2,7.3,100.0,True
ID54,5.3,4.4,9.7,9.2,7.04,6.65,3.09,6.87,6.39,5.5,5.4,5.5,6.1,5.2,6.8,6.8,100.0,True
ID55,4.1,6.0,6.4,8.6,5.31,7.38,7.71,7.59,4.86,7.6,7.6,8.0,8.5,6.5,5.9,6.3,100.0,True
ID56,7.4,6.9,4.2,7.7,6.7,5.58,4.19,5.62,6.42,5.3,5.6,4.9,4.3,4.9,7.1,6.3,46.9,True
ID58,7.4,4.2,4.1,9.6,5.95,5.98,6.19,5.31,5.49,6.2,5.0,4.0,4.6,5.1,6.7,7.4,100.0,True
ID59,7.4,4.9,5.3,9.7,6.83,4.3,4.73,6.11,6.44,2.8,5.2,4.1,4.0,5.4,8.0,4.2,56.1,True
ID60,4.3,5.1,5.2,5.0,5.57,7.07,7.22,8.33,6.11,5.8,7.2,8.5,7.7,6.9,3.7,5.4,100.0,True
