Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID7,7.4,5.0,5.6,6.5,7.54,6.28,5.19,3.99,7.18,1.8,6.4,3.4,4.5,6.2,5.7,6.0,99.0,True
ID10,7.1,3.4,5.2,8.3,8.5,7.42,4.45,2.98,8.23,0.6,7.4,1.5,4.0,5.4,6.1,6.5,99.0,True
ID15,5.6,7.4,6.6,6.8,7.61,7.15,5.78,4.33,8.07,6.4,6.4,6.1,7.5,5.2,7.1,6.5,56.0,True
ID25,4.9,8.6,8.0,4.9,6.18,6.93,8.12,7.38,7.07,9.0,6.5,8.0,8.5,5.8,6.5,1.7,40.0,True
ID35,6.9,3.8,5.0,8.0,7.87,6.24,4.85,3.36,7.43,0.4,5.9,1.7,3.3,4.0,7.1,6.5,99.0,True
ID36,7.0,5.4,5.8,7.5,5.76,5.86,4.8,6.9,4.44,8.5,6.3,7.4,6.8,8.6,3.1,5.0,40.0,True
ID43,5.4,6.4,6.0,4.7,2.94,3.72,8.13,8.88,3.34,2.4,4.1,5.1,3.8,6.2,4.5,3.3,43.0,True
ID44,6.6,5.8,5.4,4.4,4.41,3.08,7.32,7.05,3.96,1.1,3.5,3.5,2.3,5.8,5.1,3.0,56.0,True
ID45,7.0,3.8,5.8,9.5,5.57,6.6,2.42,7.82,3.84,5.3,5.9,5.3,6.0,8.6,3.1,5.0,41.0,True
ID54,6.2,6.4,6.4,8.1,9.59,7.84,3.87,2.15,8.99,6.1,6.4,4.7,6.8,4.8,7.7,6.5,62.0,True
ID58,5.6,5.8,6.4,8.3,8.72,7.48,4.27,2.86,8.44,2.6,5.9,3.4,6.0,3.4,8.1,6.5,74.0,True
ID68,7.9,4.2,5.6,8.1,8.9,7.72,4.25,2.94,8.57,5.1,8.1,4.6,6.8,6.4,5.7,5.0,99.0,True
ID69,6.4,5.4,5.6,8.3,8.75,7.29,4.63,3.27,8.31,4.6,6.6,4.5,6.3,5.2,6.5,6.5,43.0,True
ID71,5.6,8.0,6.4,6.0,5.66,6.51,6.28,5.84,6.05,8.5,5.0,7.0,6.8,5.4,6.9,4.0,41.0,True
ID79,7.2,5.6,6.0,8.1,8.68,7.64,4.84,3.07,8.58,7.1,7.4,5.5,7.5,6.0,6.5,6.0,99.0,True
ID80,5.9,6.4,6.4,8.3,9.11,7.57,4.65,2.64,8.77,3.6,5.9,4.2,6.8,4.0,8.1,6.0,88.0,True
ID82,6.9,5.6,5.4,8.3,8.45,7.16,4.34,3.21,7.87,4.6,7.1,4.5,6.3,5.6,6.3,5.5,94.0,True
ID83,5.9,6.4,6.4,8.3,8.98,7.57,4.24,2.67,8.56,3.6,5.9,4.2,6.8,3.8,8.5,6.5,90.0,True
ID87,5.5,5.8,6.2,6.5,5.11,5.71,6.43,6.3,5.98,2.0,5.0,3.8,4.5,4.6,6.7,7.5,41.0,True
ID97,6.1,4.2,5.6,8.3,8.92,7.27,4.26,2.73,8.37,0.6,6.4,2.0,4.0,4.2,7.3,6.5,99.0,True
ID100,5.8,6.2,5.2,4.7,4.85,4.63,6.9,6.38,5.02,1.1,4.4,3.0,2.5,4.2,6.5,6.5,54.0,True
ID4,,,,,,,,,,,,,,,,,38.0,False
ID13,,,,,,,,,,,,,,,,,39.0,False
ID24,,,,,,,,,,,,,,,,,39.0,False
ID55,,,,,,,,,,,,,,,,,39.0,False
ID56,,,,,,,,,,,,,,,,,38.0,False
ID63,,,,,,,,,,,,,,,,,39.0,False
ID85,,,,,,,,,,,,,,,,,38.0,False
ID86,,,,,,,,,,,,,,,,,39.0,False
ID89,,,,,,,,,,,,,,,,,39.0,False
ID92,,,,,,,,,,,,,,,,,39.0,False
ID29,,,,,,,,,,,,,,,,,,False
