Participant_ID,gender,race,birth_country,primary_language,resume,linkedin,twitter,linkedin_in_orig_resume,orig_embed_type,orig_file_type
ID2,Male,Asian,USA,English,True,True,False,True,Full url hyperlinked,pdf
ID3,Male,Asian,USA,English,True,True,False,False,,pdf
ID4,Male,Asian,India,Other Language,True,True,True,False,,pdf
ID5,Male,White,Other Country,English,True,True,False,True,Full url hyperlinked,docx
ID6,Male,White,USA,English,True,True,False,True,Full url hyperlinked,pdf
ID7,Male,White,USA,English,True,True,True,True,Full url hyperlinked,docx
ID8,Female,White,USA,English,True,True,False,False,,pdf
ID9,Female,White,USA,English,True,True,False,True,Full url hyperlinked,pdf
ID10,Male,Other Race,Other Country,English,True,True,True,True,Full url not hyperlinked,pdf
ID11,Female,Other Race,USA,English,True,True,False,False,,txt
ID12,Male,Asian,India,English,True,True,False,True,Full url hyperlinked,pdf
ID13,Male,Asian,India,Other Language,True,True,True,True,Text hyperlinked,pdf
ID14,Male,White,Other Country,Other Language,True,True,False,False,,pdf
ID15,Male,Asian,India,English,True,True,True,True,Other not hyperlinked,pdf
ID17,Female,Asian,China,Other Language,True,True,False,False,,pdf
ID18,Female,Asian,India,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID19,Male,Asian,China,Other Language,True,True,False,False,,pdf
ID20,Female,Asian,India,Other Language,True,True,False,True,Text hyperlinked,pdf
ID21,Female,White,Other Country,English,True,True,False,True,Full url hyperlinked,pdf
ID24,Male,Asian,India,English,True,True,True,True,Full url hyperlinked,pdf
ID25,Female,Asian,India,English,True,True,True,True,Text hyperlinked,pdf
ID26,Male,Asian,China,English,True,True,False,True,Full url hyperlinked,pdf
ID28,Male,Asian,India,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID29,Female,White,USA,English,True,True,True,False,,pdf
ID30,Female,Asian,India,English,True,True,False,True,Full url not hyperlinked,pdf
ID31,Male,Asian,China,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID32,Female,Asian,India,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID33,Male,White,USA,English,True,False,False,False,,pdf
ID34,Male,Asian,India,English,True,True,False,True,Full url hyperlinked,pdf
ID35,Female,Asian,USA,English,True,True,True,False,,pdf
ID36,Male,Asian,India,Other Language,True,True,True,False,,pdf
ID37,Male,Asian,China,Other Language,False,True,False,,,
ID38,Male,Asian,India,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID39,Male,Asian,India,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID40,Male,Asian,India,English,True,True,False,True,Text hyperlinked,pdf
ID41,Male,White,Other Country,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID42,Female,Asian,India,English,True,True,False,True,Text hyperlinked,pdf
ID43,Female,White,USA,English,False,True,True,,,
ID44,Female,White,USA,English,True,True,True,False,,docx
ID45,Male,Asian,India,English,True,True,True,True,Full url hyperlinked,pdf
ID46,Male,Asian,India,Other Language,True,True,False,False,,pdf
ID48,Female,Asian,China,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID49,Male,Other Race,USA,English,True,True,False,True,Full url not hyperlinked,pdf
ID50,Male,Asian,India,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID51,Female,Asian,Other Country,Other Language,True,True,False,False,,pdf
ID52,Female,Other Race,USA,English,False,True,False,,,
ID53,Female,Asian,Other Country,English,True,True,False,True,Text hyperlinked,pdf
ID54,Male,Other Race,Other Country,Other Language,True,True,True,False,,pdf
ID55,Female,Asian,China,Other Language,True,True,True,True,Full url not hyperlinked,pdf
ID56,Male,Asian,USA,English,True,True,True,False,,docx
ID57,Female,Asian,India,English,False,True,False,,,
ID58,Male,White,USA,English,True,True,True,True,Text hyperlinked,pdf
ID59,Female,Asian,China,English,True,True,False,False,,pdf
ID60,Male,,Other Country,Other Language,True,True,False,True,Full url hyperlinked,pdf
ID61,Female,Asian,China,Other Language,True,True,False,True,Text hyperlinked,pdf
ID62,Female,Asian,Other Country,English,True,True,False,True,Full url not hyperlinked,pdf
ID63,Male,Asian,India,Other Language,True,True,True,True,Text hyperlinked,pdf
ID64,Male,Asian,USA,English,True,True,False,True,Full url not hyperlinked,pdf
ID65,Female,Asian,India,English,True,True,False,True,Full url hyperlinked,pdf
ID66,Male,Asian,,English,False,True,False,,,
ID67,Male,Asian,India,Other Language,True,True,False,True,Other not hyperlinked,pdf
ID68,Male,White,USA,English,True,True,True,False,,pdf
ID69,Male,Asian,India,Other Language,True,True,True,False,,pdf
ID70,Male,Asian,USA,English,True,True,False,False,,pdf
ID71,Female,Asian,China,English,True,True,True,False,,pdf
ID72,Male,Other Race,USA,English,True,True,False,False,,pdf
ID73,Male,Other Race,,Other Language,True,True,False,True,Text hyperlinked,pdf
ID74,Female,White,Other Country,English,True,True,False,False,,pdf
ID75,Female,Asian,India,English,True,True,False,True,Full url not hyperlinked,pdf
ID76,Male,Other Race,USA,English,True,True,False,False,,docx
ID77,Female,White,USA,English,True,True,False,True,Full url not hyperlinked,pdf
ID78,Male,Asian,India,Other Language,True,True,False,True,Text hyperlinked,pdf
ID79,Female,White,Other Country,English,True,True,True,True,Full url not hyperlinked,pdf
ID80,Male,Other Race,USA,English,True,True,True,False,,pdf
ID81,Male,Asian,India,English,True,True,False,True,Full url hyperlinked,pdf
